portID,port,customer,customerID,mode,emissions,cost,ducation
pt_los_angeles,Los Angeles,Dallas,,road,0.40941507980058606,194.18897065640445,2.996743374327229
pt_los_angeles,Los Angeles,Columbus ,,road,0.6544289067480813,310.40106248920847,4.790139853228526
pt_los_angeles,Los Angeles,Atlanta,,road,0.6393268416242934,303.23802764788616,4.679599192097009
pt_los_angeles,Los Angeles,Portland ,,road,0.27843484550760356,132.06395834352736,2.0380240485112244
pt_los_angeles,Los Angeles,Savannah,,road,0.7086861784231141,336.13573680147704,5.187279888911682
pt_los_angeles,Los Angeles,Indianapolis,,road,0.5990920987513033,284.15435513895807,4.3850980731320695
pt_los_angeles,Los Angeles,Minneapolis,,road,0.5066124681416527,240.2904987233135,3.7081867086931095
pt_los_angeles,Los Angeles,Harrisburg ,,road,0.760880264,360.8918250072166,5.569318287148404
pt_los_angeles,Los Angeles,Chicago,,road,0.5787375751682143,274.50003565290797,4.236111661310308
pt_los_angeles,Los Angeles,Nashville,,road,0.5886613086847893,279.20694483073004,4.308749148622378
pt_los_angeles,Los Angeles,Albuquerque,,road,0.22100514648512484,104.82457540796433,1.6176632007401903
pt_los_angeles,Los Angeles,Mobile,,road,0.5842233989513254,277.1020074077432,4.276265546
pt_los_angeles,Los Angeles,Little Rock,,road,0.4889985785494534,231.93608468748775,3.579260566164935
pt_los_angeles,Los Angeles,Seattle,,road,0.32259110985495393,153.0076410379228,2.3612290283630064
pt_los_angeles,Los Angeles,Phoenix,,road,0.1183197763266651,56.12005201264747,0.8660501853803623
pt_los_angeles,Los Angeles,Jacksonville,,road,0.7079784661722412,335.8000630065966,5.182099737756121
pt_los_angeles,Los Angeles,Orlando,,road,0.7253073113711052,344.0192781206822,5.308939477171022
pt_los_angeles,Los Angeles,New Orleans,,road,0.5507627227212857,261.2313309349971,4.0313476996141535
pt_los_angeles,Los Angeles,Pittsburgh,,road,0.7069289557382873,335.3022714964208,5.174417770006494
pt_los_angeles,Los Angeles,Charleston,,road,0.7266527509886564,344.6574312989674,5.3187875200457935
pt_los_angeles,Los Angeles,Richmond,,road,0.7555929417258473,358.384004,5.530617345380232
pt_los_angeles,Los Angeles,Denver ,,road,0.27841714604758955,132.0555633427302,2.0378944960297876
pt_los_angeles,Los Angeles,Kansas City,,road,0.45022833577954396,213.5470367333805,3.2954789619348848
pt_los_angeles,Los Angeles,Charlotte,,road,0.6999848118451557,332.0086064087695,5.123589605073603
pt_los_angeles,Los Angeles,Greensboro,,road,0.7166954537424883,339.93460256560707,5.245904360580357
