customerID,product,demand
c1,product_a,275
c1,product_b,165
c1,product_c,220
c2,product_a,0
c2,product_b,100
c2,product_c,0
c3,product_a,60
c3,product_b,80
c3,product_c,20
c4,product_a,175
c4,product_b,70
c4,product_c,140
c5,product_a,274
c5,product_b,548
c5,product_c,411
c6,product_a,0
c6,product_b,200
c6,product_c,0
c7,product_a,100
c7,product_b,0
c7,product_c,0
c8,product_a,136
c8,product_b,68
c8,product_c,170
c9,product_a,201
c9,product_b,201
c9,product_c,67
c10,product_a,574
c10,product_b,574
c10,product_c,400
c11,product_a,168
c11,product_b,112
c11,product_c,112
c12,product_a,110
c12,product_b,275
c12,product_c,165
c13,product_a,100
c13,product_b,0
c13,product_c,0
c14,product_a,100
c14,product_b,24
c14,product_c,0
c15,product_a,0
c15,product_b,394
c15,product_c,197
c16,product_a,64
c16,product_b,0
c16,product_c,64
c17,product_a,80
c17,product_b,20
c17,product_c,40
c18,product_a,0
c18,product_b,0
c18,product_c,100
c19,product_a,0
c19,product_b,0
c19,product_c,0
c20,product_a,92
c20,product_b,23
c20,product_c,92
c21,product_a,0
c21,product_b,0
c21,product_c,0
c22,product_a,100
c22,product_b,0
c22,product_c,0
c23,product_a,100
c23,product_b,0
c23,product_c,0
c24,product_a,104
c24,product_b,130
c24,product_c,0
c25,product_a,51
c25,product_b,34
c25,product_c,68
c26,product_a,100
c26,product_b,20
c26,product_c,30
c27,product_a,85
c27,product_b,0
c27,product_c,68
c28,product_a,134
c28,product_b,402
c28,product_c,0
