ID,county,state,lon,lat,demand,demand_pct_rank,geometry
6021,Glenn County,California,-122.3912814,39.59738944,28.339,0.345360825,"POLYGON ((-122.911794 39.799485, -122.046471 39.797648, -121.947267 39.731202, -121.994343 39.671458, -121.994021 39.533926, -121.856532 39.536904, -121.890013 39.383864, -122.008857 39.413567, -122.136006 39.385494, -122.739062 39.383266, -122.735639 39.580668, -122.885352 39.580108, -122.892676 39.708898, -122.937654 39.798156, -122.911794 39.799485))"
49053,Washington County,Utah,-113.5046816,37.28003663,197.68,0.706185567,"POLYGON ((-114.052472 37.604776, -113.587797 37.604611, -113.474485 37.618289, -113.474029 37.529085, -113.25334 37.528983, -113.25349 37.482167, -113.037048 37.474474, -113.037088 37.499748, -112.900924 37.500022, -112.899190897616 37.0003012286284, -112.966471 37.000219, -113.965907 37.000025, -114.0506 37.000396, -114.051749 37.088434, -114.051974 37.284511, -114.052701 37.492014, -114.052472 37.604776))"
53063,Spokane County,Washington,-117.4047043,47.62127588,549.69,0.865979381,"POLYGON ((-117.820947 47.825775, -117.697774 47.856278, -117.535262 47.794458, -117.537069 48.047865, -117.436993 48.047207, -117.041214453461 48.0454651038028, -117.041306446459 47.9774559200268, -117.041634 47.7353, -117.040490375568 47.366028886698, -117.040159751863 47.259272, -117.823629 47.26022, -117.820947 47.825775))"
4013,Maricopa County,Arizona,-112.4928055,33.34762637,1500,0.971649485,"POLYGON ((-113.335048 33.377469, -113.333313 34.000039, -112.743951 33.999898, -112.427932 33.920704, -112.276168 33.882469, -112.161128 34.017717, -111.996196 34.029866, -111.726334 34.000041, -111.494988 33.99995, -111.433271 33.983321, -111.450904 33.919877, -111.372317 33.823924, -111.389444 33.776663, -111.26283 33.623157, -111.222055 33.602446, -111.153354 33.677606, -111.039976 33.466019, -111.476812 33.465885, -111.580634 33.4658, -111.582631 33.205408, -111.685911 33.204637, -111.869945 33.203583, -111.893085 33.204709, -112.081946 33.204686, -112.203168 33.310499, -112.202087 33.246861, -112.202984 32.992814, -112.203624 32.506721, -112.625204 32.505355, -113.333894 32.505188, -113.333709 32.767851, -113.333786 33.023476, -113.335048 33.377469))"
53045,Mason County,Washington,-123.1861776,47.34962349,68.166,0.525773196,"POLYGON ((-123.505917 47.604615, -122.950621 47.606308, -123.038404 47.520236, -122.801012 47.520406, -122.801199 47.403578, -122.852917 47.256462, -122.820576 47.19422, -122.903521 47.157533, -122.938156 47.190316, -123.075026 47.084787, -123.201891 47.085059, -123.488943 47.082646, -123.505021 47.258535, -123.505917 47.517716, -123.505917 47.604615))"
32027,Pershing County,Nevada,-118.4005641,40.44003782,6.462,0.103092784,"POLYGON ((-119.313036 40.523104, -119.309598 40.960378, -118.786705 40.96085, -118.786738 40.855929, -118.43819 40.855696, -117.64422 40.857824, -117.644399 40.684343, -117.301168 40.682348, -117.300597 40.526136, -117.541749 40.001034, -118.500979 39.998676, -119.225176 39.999385, -119.339296 39.998609, -119.313036 40.523104))"
32510,Carson City,Nevada,-119.7479741,39.15519709,58.13,0.479381443,"POLYGON ((-120.003364028833 39.1656267640688, -119.880787 39.165509, -119.843933 39.200776, -119.770871 39.215285, -119.712645 39.250871, -119.712112 39.251046, -119.647945 39.19506, -119.56148 39.194424, -119.550386 39.086259, -119.761213 39.114009, -120.002614842913 39.1126893740958, -120.003364028833 39.1656267640688))"
4003,Cochise County,Arizona,-109.751765,31.87921069,125.663,0.644329897,"POLYGON ((-110.460752 31.613883, -110.4523 31.731219, -110.451002 32.427546, -109.227748 32.424755, -109.186364 32.426369, -109.11418 32.426353, -109.047612 32.426377, -109.048296 32.084093, -109.049195 31.796551, -109.050044 31.332502, -109.494489173993 31.333394145396, -109.829689 31.334067, -110.459751627493 31.333141997042, -110.459904 31.399877, -110.460752 31.613883))"
41071,Yamhill County,Oregon,-123.3086976,45.23334905,108.226,0.62371134,"POLYGON ((-123.78454 45.216294, -123.463518 45.216312, -123.46488 45.433332, -123.135427 45.433459, -122.928873 45.34628, -122.867891 45.317345, -122.849925 45.259697, -122.968666 45.284729, -123.051106 45.211305, -122.996725 45.118915, -123.068271 45.074864, -123.724368 45.076226, -123.784218 45.076655, -123.78454 45.216294))"
6091,Sierra County,California,-120.5197184,39.57926534,3.217,0.06185567,"POLYGON ((-121.058203 39.537043, -121.009477 39.639459, -120.870988 39.776821, -120.792484 39.709794, -120.68076 39.676833, -120.654227 39.706629, -120.147149 39.707658, -120.015734 39.708721, -119.999935448085 39.7224069247242, -120.00174 39.538852, -120.003028919657 39.4450457761605, -120.505445 39.446117, -120.575594 39.522291, -120.654561 39.52692, -120.755729 39.452663, -120.992703 39.414392, -121.022085 39.391558, -121.058203 39.537043))"
